OBJECTID_12_13_14_15_16,OBJECTID,TRACT,TRACTCE10,GEOID10,NAME10,NAMELSAD10,ACRES_TOTA,WATER,SHAPE_Leng,TC_ID,OBJECTID_1,TRACT_1,TRACTCE10_1,GEOID10_1,NAME10_1,NAMELSAD10_1,ACRES_TOTAL,PCT_PEOPLE_OF_COLOR,PTL_PEOPLE_OF_COLOR,PCT_ENGLISH_LESSTHAN_VERY_WELL,PTL_ENGLISH_LESSTHAN_VERY_WELL,PCT_FOREIGN_BORN,PTL_FOREIGN_BORN,PCT_POP_INC_UNDER_200_POVERTY,PTL_POP_INC_UNDER_200_POVERTY,PCT_LESS_BACHELOR_DEGREE,PTL_LESS_BACHELOR_DEGREE,PCT_ADULTNOLEISUREPHYSACTIVITY,PCT_ADULT_WITH_DIABETES,PCT_ADULT_OBESE,PCT_ADULTMENTALHEALTHNOTGOOD,PCT_ADULT_WITH_ASTHMA,PCT_ADULT_WITH_DISABILITIES,PCT_LOW_LIFE_EXPECT_AT_BIRTH,PTL_ADULTNOLEISUREPHYSACTIVITY,PTL_ADULT_DIAGNOSED_DIABETES,PTL_ADULT_OBESE,PTL_ADULTMENTALHEALTHNOTGOOD,PTL_ADULT_WITH_ASTHMA,PTL_ADULT_WITH_DISABILITIES,PTL_LOW_LIFE_EXPECT_AT_BIRTH,COMPOSITE_PERCENTILE,COMPOSITE_QUINTILE,RACE_ELL_ORIGINS_PERCENTILE,RACE_ELL_ORIGINS_QUINTILE,SOCIOECONOMIC_PERCENTILE,SOCIOECONOMIC_QUINTILE,HEALTH_PERCENTILE,HEALTH_QUINTILE,RSE_Priority_Rank,OBJECTID_12,TC_ID_1,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,TC_Land_A_1,Gain,Loss,No_Change,TreeCanopy_2016_Area,TreeCanopy_2021_Area,Change_Area,Change_PercentChange,TreeCanopy_2016_Percent,TreeCanopy_2021_Percent,Change_Percent_AbsDiff,OBJECTID_12_13,OBJECTID_12_13_14,TC_ID_12,OBJECTID_12_13_14_15,TC_ID_12_13,Shape__Area,Shape__Length
11,12,4700,004700,53033004700,47,Census Tract 47,490.84574314,0,22313.9948711802,12,2,,,,,,490.84574314,0.18128385,0.211,0.03845224,0.444,0.10556644,0.294,0.17024221,0.384,0.33006957,0.437,0.117,0.044,0.21,0.092,0.086,0.10528297,0.811,0.24,0.142,0.315,0.451,0.345,0.533,0.655,0.384,Second lowest,0.301,Second lowest,0.437,Middle,0.391,Second lowest,2,,,21381167,2548427,2609027,17260,9268,6836304,3408157,5952724,5183982,16197185,11.919026683623,12.2024536827199,0.0807252475975703,0.0433465582117197,31.9734839543604,15.939995230382,27.8409686431054,24.2455521721522,75.7544478278477,2548427,2609027,21371899,5969984,8579011,11.9241954119285,12.2077453201515,40.1415475526999,27.9338022325484,,380861,325460,2167566,2493026,2548427,55401,2.22223915835615,11.6649718398913,11.9241954119285,0.259223572037282,,,,,,21381237.5576477,22313.9936392787
12,14,3200,003200,53033003200,32,Census Tract 32,510.29345855,0,33766.8661128842,14,100,,,,,,510.29345855,0.17096047,0.173,0.01838879,0.211,0.08571768,0.181,0.16834857,0.369,0.2601786,0.211,0.12,0.058,0.221,0.088,0.086,0.08444444,0.8394,0.308,0.398,0.533,0.308,0.345,0.338,0.384,0.256,Second lowest,0.151,Lowest,0.256,Second lowest,0.384,Second lowest,2,,,22228337,5047130,5808849,66861,112410,4905510,2789710,3497867,11035250,11193087,22.7058371483211,26.1326297149445,0.300791732642887,0.505705847450486,22.0687224599843,12.5502416127666,15.7360714838901,49.6449644433589,50.3550355566411,5047130,5808849,22115927,3564728,9373577,22.8212455213838,26.265455660077,42.3838304403881,16.118374780311,,741621,634566,4305509,4940075,5047130,107055,2.16707236226171,22.3371826105232,22.8212455213838,0.484062910860576,,,,,,22228380.7737122,33766.8618761067
13,15,3500,003500,53033003500,35,Census Tract 35,317.45244839,0,16634.3481234398,15,120,,,,,,317.45244839,0.19559229,0.294,0.02272727,0.286,0.08464813,0.166,0.13583376,0.279,0.2560154,0.181,0.119,0.057,0.219,0.087,0.086,0.08929119,0.8409,0.278,0.375,0.496,0.27,0.345,0.383,0.354,0.249,Second lowest,0.249,Second lowest,0.173,Lowest,0.369,Second lowest,2,,,13828194,4923837,3707500,19377,3454,2444507,1826648,902871,8654168,5174026,35.6072311395111,26.8111656518559,0.140126758418344,0.024977954460286,17.6777025257239,13.2095919394825,6.52920403054802,62.5835015042456,37.4164984957544,4923837,3707500,13824740,922248,4629748,35.6161273195735,26.8178642057644,33.4888612733404,6.67099706757595,,477832,501435,4446005,4947440,4923837,-23603,-0.477075012531734,35.786857474354,35.6161273195735,-0.170730154780493,,,,,,13828226.6664429,16634.3471333968
14,16,3400,003400,53033003400,34,Census Tract 34,194.49775167,0,12629.3222581997,16,38,,,,,,194.49775167,0.13169281,0.046,0.01081239,0.068,0.0624662,0.038,0.08274743,0.053,0.24621785,0.158,0.102,0.044,0.208,0.081,0.084,0.05765271,0.837,0.015,0.142,0.255,0.09,0.135,0.09,0.407,0.008,Lowest,0.008,Lowest,0.061,Lowest,0.098,Lowest,1,,,8472328,2409448,2392936,2327,0,2020689,1059634,587294,4804711,3667617,28.4390311612109,28.2441378567969,0.0274658865898487,0,23.8504576310077,12.5069992568749,6.93190820751982,56.7106349045976,43.2893650954023,2409448,2392936,8472328,589621,2982557,28.4390311612109,28.2441378567969,35.2035119509065,6.95937409410967,,321004,311502,2088444,2399946,2409448,9502,0.395925574992104,28.3268778073748,28.4390311612109,0.112153353836156,,,,,,8472320.5776062,12629.3212660094
15,17,3300,003300,53033003300,33,Census Tract 33,320.32049519,0,16129.6803472402,17,22,,,,,,320.32049519,0.15677901,0.121,0.0248854,0.316,0.06725637,0.068,0.11688113,0.136,0.29706625,0.316,0.112,0.043,0.215,0.09,0.086,0.05427062,0.8479,0.15,0.105,0.398,0.368,0.345,0.082,0.279,0.128,Lowest,0.136,Lowest,0.166,Lowest,0.166,Lowest,1,,,13953154,3314007,3722023,8912,0,3602854,1861922,1443436,7044942,6908212,23.7509526519954,26.6751373918757,0.0638708638921351,0,25.8210724256322,13.3440941023083,10.3448725642962,50.4899609077632,49.5100390922368,3314007,3722023,13953154,1452348,5174371,23.7509526519954,26.6751373918757,37.0838808200641,10.4087434281884,,457005,453200,2857002,3310202,3314007,3805,0.114947667846252,23.7236828318529,23.7509526519954,0.0272698201424575,,,,,,13953159.4393921,16129.679679923
16,18,2800,002800,53033002800,28,Census Tract 28,242.98539587,0,13187.7124890148,18,86,,,,,,242.98539587,0.11656817,0.023,0.01052396,0.053,0.07458732,0.113,0.17179539,0.407,0.23659391,0.143,0.11,0.044,0.213,0.087,0.085,0.05003772,0.8146,0.12,0.142,0.368,0.27,0.24,0.045,0.632,0.076,Lowest,0.023,Lowest,0.219,Second lowest,0.181,Lowest,1,,,10584456,2674195,2943499,0,0,2703714,1577914,685134,5617694,4966762,25.2653041403356,27.8096389649123,0,0,25.5441942410644,14.9078422169264,6.47302043676123,53.0749431052479,46.9250568947521,2674195,2943499,10584456,685134,3628633,25.2653041403356,27.8096389649123,34.2826594016735,6.47302043676123,,406730,309554,2267465,2577019,2674195,97176,3.77086858886178,24.3472031061398,25.2653041403356,0.918101034195811,,,,,,10584443.0950317,13187.7121557798
17,19,2900,002900,53033002900,29,Census Tract 29,243.68167521,0,13366.3195076397,19,101,,,,,,243.68167521,0.11383619,0.008,0.01323205,0.106,0.07288292,0.098,0.11892642,0.166,0.27051672,0.249,0.115,0.049,0.218,0.088,0.085,0.06093294,0.8345,0.21,0.24,0.458,0.308,0.24,0.135,0.422,0.091,Lowest,0.031,Lowest,0.143,Lowest,0.271,Second lowest,1,,,10614780,2868185,2967673,2067,0,2632039,1405323,739493,5837925,4776855,27.0206730615236,27.957932241648,0.0194728482361387,0,24.7959825827761,13.2393040647098,6.96663520110638,54.9980781514078,45.0019218485922,2868185,2967673,10614780,741560,3709233,27.0206730615236,27.957932241648,34.9440402909905,6.98610804934252,,407065,330148,2461120,2791268,2868185,76917,2.75562934121697,26.296051354809,27.0206730615236,0.724621706714601,,,,,,10614772.8429565,13366.3189346803
18,20,3000,003000,53033003000,30,Census Tract 30,368.96744741,0,16061.9476208421,20,87,,,,,,368.96744741,0.1575768,0.136,0.01928783,0.234,0.07628581,0.136,0.13141968,0.249,0.32184179,0.399,0.122,0.052,0.223,0.091,0.086,0.10140406,0.8318,0.345,0.315,0.586,0.421,0.345,0.511,0.474,0.294,Second lowest,0.143,Lowest,0.309,Second lowest,0.444,Middle,2,,,16072217,4300265,5065711,9969,0,3511301,2158530,1026441,9375945,6696272,26.7558918598473,31.5184333312573,0.0620262904613595,0,21.8470233446948,13.4301944778371,6.38643069590213,58.336351481566,41.663648518434,4300265,5065711,16072217,1036410,6102121,26.7558918598473,31.5184333312573,37.9668903176208,6.44845698636349,,636756,517934,3663509,4181443,4300265,118822,2.84165059765253,26.016591239404,26.7558918598473,0.739300620443338,,,,,,16072219.6938477,16061.9470515426
19,21,3100,003100,53033003100,31,Census Tract 31,530.70314556,0,24381.1524803013,21,121,,,,,,530.70314556,0.13209976,0.053,0.01664093,0.181,0.0608206,0.023,0.14135872,0.301,0.35051321,0.459,0.12,0.057,0.221,0.088,0.086,0.06983995,0.8468,0.308,0.375,0.533,0.308,0.345,0.203,0.286,0.234,Second lowest,0.053,Lowest,0.407,Middle,0.316,Second lowest,2,,,23117453,7278449,7344165,274383,23491,3994895,2832446,1369624,14920488,8196965,31.4846492820814,31.768919352837,1.18690843666904,0.101615865727076,17.280861347485,12.2524137931631,5.92463192203743,64.5420929373145,35.4579070626855,7278449,7344165,23093962,1644007,8988172,31.5166752244591,31.8012344525379,38.9200086152389,7.11877416270106,,812949,789337,6465500,7254837,7278449,23612,0.32546561693943,31.4144320493816,31.5166752244591,0.102243175077536,,,,,,23117426.3442383,24381.1515573753
20,22,1701,001701,53033001701,17.01,Census Tract 17.01,220.59345569,0,17164.4546404212,22,88,,,,,,220.59345569,0.30867603,0.579,0.03136079,0.369,0.10732197,0.301,0.2116349,0.527,0.33682831,0.444,0.131,0.051,0.221,0.099,0.089,0.0957923,0.8027,0.496,0.285,0.533,0.571,0.593,0.458,0.775,0.527,Middle,0.444,Middle,0.512,Middle,0.579,Middle,3,,,9609021,2186365,2776930,9768,0,2179870,1242281,1213807,4973063,4635958,22.7532544678589,28.8991979515915,0.101654476559058,0,22.6856617339061,12.9282785415913,12.6319528284931,51.7541068960095,48.2458931039905,2186365,2776930,9609021,1223575,4000505,22.7532544678589,28.8991979515915,41.6328052566437,12.7336073050522,,316985,293712,1869380,2163092,2186365,23273,1.07591355337637,22.5110549763602,22.7532544678589,0.242199491498663,,,,,,9609049.77493286,17164.4539708001
21,23,1702,001702,53033001702,17.02,Census Tract 17.02,316.3291459,0,17476.4063853691,23,89,,,,,,316.3291459,0.26040507,0.482,0.06394526,0.625,0.1333185,0.467,0.23018608,0.557,0.45297237,0.647,0.146,0.066,0.234,0.104,0.091,0.14423831,0.7774,0.661,0.556,0.729,0.661,0.669,0.796,0.918,0.64,Second highest,0.534,Middle,0.61,Second highest,0.767,Second highest,4,,,13779291,3616913,4595443,10702,0,2788643,1679327,1088263,8223058,5556233,26.2489049690583,33.3503588827611,0.0776672762045594,0,20.2379280617559,12.1873251678914,7.89781564232877,59.6769311280239,40.3230688719761,3616913,4595443,13779291,1098965,5694408,26.2489049690583,33.3503588827611,41.3258418012944,7.97548291853333,,450042,553836,3166871,3720707,3616913,-103794,-2.78963111043143,27.0021657863238,26.2489049690583,-0.753260817265559,,,,,,13779296.8063354,17476.4061124479
22,24,1600,001600,53033001600,16,Census Tract 16,476.74837007,0,23530.6245099134,24,77,,,,,,476.74837007,0.1775,0.196,0.02503646,0.324,0.08272727,0.158,0.1318306,0.256,0.36117936,0.489,0.128,0.069,0.219,0.085,0.085,0.10973502,0.8384,0.458,0.609,0.496,0.195,0.24,0.586,0.391,0.339,Second lowest,0.196,Second lowest,0.384,Second lowest,0.429,Middle,2,,,20767110,5775721,6998182,151338,0,3958286,1787006,2096577,12925241,7841869,27.8118669376721,33.6983913505538,0.72873885677882,0,19.0603603486475,8.60498162719801,10.0956608791498,62.2389971450048,37.7610028549952,5775721,6998182,20767110,2247915,9246097,27.8118669376721,33.6983913505538,44.5227910864824,10.8243997359286,,687070,622877,5088651,5711528,5775721,64193,1.12391990374555,27.5027579668042,27.8118669376721,0.309108970867875,,,,,,20767156.3797607,23530.6226022954
23,26,1500,001500,53033001500,15,Census Tract 15,283.17318415,0,13808.8375719678,26,102,,,,,,283.17318415,0.07861133,0,0.01115702,0.076,0.06384677,0.046,0.07182761,0.031,0.3099324,0.354,0.118,0.065,0.217,0.082,0.084,0.12243902,0.8424,0.263,0.526,0.428,0.097,0.135,0.721,0.331,0.143,Lowest,0,Lowest,0.128,Lowest,0.361,Second lowest,1,,,12335015,5077121,3613957,31353,0,1943094,924201,745289,8722431,3612584,41.16023369246,29.298359183187,0.254178855883029,0,15.7526683186036,7.49250000912038,6.04205994074592,70.7127717315301,29.2872282684699,5077121,3613957,12335015,776642,4390599,41.16023369246,29.298359183187,35.594597979816,6.29623879662895,,462565,448940,4614556,5063496,5077121,13625,0.269082862907367,41.0497757805726,41.16023369246,0.110457911887416,,,,,,12335023.5007629,13808.8372377946
24,29,200,000200,53033000200,2,Census Tract 2,812.00794875,0,24111.6882665987,29,54,,,,,,812.00794875,0.41635029,0.715,0.14446355,0.797,0.25132878,0.76,0.21687817,0.542,0.46494968,0.685,0.15,0.072,0.22,0.098,0.088,0.10403397,0.8231,0.676,0.661,0.518,0.548,0.533,0.518,0.572,0.677,Second highest,0.745,Second highest,0.632,Second highest,0.625,Second highest,4,,,35371021,13039308,13443904,11095,143570,4902778,2483444,1346922,26637877,8733144,36.8643811554097,38.008244093378,0.0313674858297135,0.405897245657681,13.861002202905,7.02112613599704,3.80798168082284,75.3098899802751,24.6901100197249,13039308,13443904,35227451,1358017,14801921,37.0146224885814,38.1631472569503,42.0181437481809,3.85499649123066,,1101294,1207872,11938014,13145886,13039308,-106578,-0.810732726573165,37.3171649575213,37.0146224885814,-0.302542468939919,,,,,,35371062.5312195,24111.6872726273
25,65,2700,002700,53033002700,27,Census Tract 27,393.80500868,0,24129.0791720348,65,78,,,,,,393.80500868,0.22862726,0.369,0.04191829,0.489,0.12440971,0.399,0.12088091,0.173,0.25751547,0.188,0.115,0.049,0.209,0.088,0.085,0.05212355,0.8395,0.21,0.24,0.285,0.308,0.24,0.052,0.376,0.181,Lowest,0.429,Middle,0.121,Lowest,0.158,Lowest,1,,,17154041,4201252,5462676,10703,0,3435428,3006554,1037428,9674631,7479410,24.4913253967389,31.8448346952185,0.0623934616922042,0,20.0269312636014,17.5267973301451,6.04771785260394,56.3985535536495,43.6014464463505,4201252,5462676,17154041,1048131,6510807,24.4913253967389,31.8448346952185,37.9549460095146,6.11011131429615,,609608,535134,3591644,4126778,4201252,74474,1.80465244314087,24.0571769648912,24.4913253967389,0.434148431847632,,,,,,17154143.940094,24129.0779245065
26,66,2200,002200,53033002200,22,Census Tract 22,683.24215103,0,29647.2275693476,66,39,,,,,,683.24215103,0.22797651,0.361,0.0387759,0.452,0.12012814,0.376,0.06905233,0.023,0.22754342,0.113,0.117,0.068,0.2,0.073,0.08,0.06355443,0.8563,0.24,0.593,0.082,0.007,0,0.142,0.173,0.151,Lowest,0.384,Second lowest,0.046,Lowest,0.113,Lowest,1,,,29761949,10834562,10868894,74924,7936,4632304,2316404,1026925,21786316,7975633,36.4040742089841,36.5194295575199,0.251744265807323,0.0266649203652624,15.5645183049,7.78310587119143,3.45046287123199,73.2019129526766,26.7980870473234,10834562,10868894,29754013,1101849,11970743,36.4137839154671,36.5291700316189,40.2323646225469,3.70319459092795,,997711,1309150,9836851,11146001,10834562,-311439,-2.79417703264157,37.4604965051269,36.4137839154671,-1.04671258965976,,,,,,29762024.5907288,29647.2266629531
