X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,CITY,STATE_NAME,PHONE,DISTRICT,FAC_CLASS,NEWSTA,RESOLUTION,WEBSITE,PIN,MAJOR,MINOR
-122.168860961628,47.5385323106587,44,650025,988637,65,Newcastle Police Department,Newcastle PD,12835 Newcastle Way,98056,Newcastle,WA,(425) 649-4444,NE,3,X,tentatively placed manually/unsure location/QC- unconfirmed parcel,https://www.newcastlewa.gov/departments/police,2824059144,282405,9144
-122.319453117566,47.4053833692729,45,650043,380127,65,Des Moines Police Department,Des Moines PD,21900 11th Ave S,98198,Des Moines,WA,(206) 878-3301,DM,0,Y,"placed manually/QC, new website",https://www.desmoineswa.gov/cms/one.aspx?portalId=17385088&pageId=17501929,0822049035,082204,9035
-122.047141349458,47.3911939964917,46,650005,9258,65,Maple Valley Police Department,Maple Valley PD,22017 SE Wax Rd,98038,Maple Valley,WA,(425) 413-5158,MV,3,E,moved manually/QC,https://www.maplevalleywa.gov/departments-services/police-department,1622069154,162206,9154
-122.03680391481,47.601323475446,47,650011,375887,65,KC Precinct 2 Headquarters,KC Precinct 2 HQ,801 228th Ave SE,98075,Sammamish,WA,(206) 263-9133,SM,3,Y,"placed manualy/QC- changed zip from 98011, added new location",https://kingcounty.gov/depts/sheriff/police-precincts/precinct2.aspx,0424069255,042406,9255
-121.982359406352,47.2004087319568,48,650046,892537,65,WSP District 2 Enumclaw Detatchment,WSP District 2 Enumclaw Detach,333 Griffin Ave,98022,Enumclaw,WA,(360) 825-6154,EN,0,Y,placed manually/QC,https://www.wsp.wa.gov/about-us/contact-us/,2420069274,242006,9274
-122.237056039733,47.3806905967823,49,650053,801805,65,Kent Police Department,Kent PD,220 4th Ave S,98032,Kent,WA,(253) 856-5800,KE,0,Y,"placed manually/QC, new website",https://www.kentwa.gov/departments/police-department,9825700835,982570,0835
-122.345474389585,47.5149235392835,50,650087,869391,65,Greenbridge Storefront,Greenbridge,9839 8th Ave SW,98106,Unincorporated King County,WA,(206) 296-3332,KC,6,Y,? Occupies same parcel as KC Housing Authority apt complex,https://kingcounty.gov/depts/sheriff/police-precincts/precinct4.aspx,2895800240,289580,0240
-122.342178078195,47.4693330044349,51,650007,528847,65,KC Precinct 4 Headquarters,KC Precinct 4 HQ,14905 6th Ave SW,98166,Burien,WA,(206) 477-2200,SE,6,E,"moved manually/unsure if correct parcel/QC- unconf. parcel, moved across street",https://kingcounty.gov/depts/sheriff/police-precincts/precinct4.aspx,3207200120,320720,0120
-121.359895820247,47.7100774806717,52,650024,72724,65,Skykomish Substation,Skykomish,119 4th St N,98288,Skykomish,WA,(206) 296-3311,SK,4,N,QC- unconfirmed parcel,https://kingcounty.gov/depts/sheriff/police-partnerships/partners-list/skykomish.aspx,7807800670,780780,0670
-122.044140526381,47.3950922680725,53,650001,620199,65,KC Precinct 3 Headquarters,KC Precinct 3 HQ,22300 SE 231st St,98038,Maple Valley,WA,(206) 477-6446,MV,1,E,"moved slightly to current location/QC, added new location",https://kingcounty.gov/depts/sheriff/police-precincts/precinct3.aspx,1622069143,162206,9143
-122.238368702945,47.3848024285724,54,650082,803272,65,KC Criminal Investigation Division,KC Criminal Investigation Division,401 4th Ave N,98032,Kent,WA,(206) 263-2100,KC,0,Y,"added 9/04, new website",https://kingcounty.gov/depts/sheriff/about-us/enforcement/investigations.aspx,2422049111,242204,9111
-122.224589667662,47.307326467282,55,650029,707661,65,Auburn Police Department,Auburn PD,340 E Main St,98002,Auburn,WA,(253) 288-2121,AU,0,Y,"placed manually/QC, new website",https://www.auburnwa.gov/city_hall/police,7331400460,733140,0460
-122.172521572736,47.574216844919,56,650032,0000000,65,Factoria Police Substation,Factoria Police Substation,4051 Factoria Blvd SE,98006,Bellevue,WA,(425) 452-2880,BE,0,Y,"NEW station; unsure of parcel/QC- moved inside Factoria Mall",https://bellevuewa.gov/city-government/departments/police,2442700060,244270,0060
-122.129804499367,47.6800011972638,57,650061,536612,65,Redmond Police Department,Redmond PD,8701 160th Ave NE,98052,Redmond,WA,(425) 556-2500,RM,0,Y,placed manually/QC,https://www.redmond.gov/167/Police,7202030020,720203,0020
-122.336567294212,47.6162346543075,58,650067,840695,65,Seattle Police West Precinct,SPD West Precinct,810 Virginia St,98101,Seattle,WA,(206) 684-8917,SE,0,Y,placed manually/QC- moved parcel south onto Virginia,https://www.seattle.gov/police/about-us/police-locations/west-precinct,0660000560,066000,0560
-122.277569845758,47.7539089309492,59,650055,94150,65,Lake Forest Park Police Department,Lake Forest Park PD,17425 Ballinger Way NE,98155,Lake Forest Park,WA,(206) 364-8216,LF,0,Y,"placed manually/QC, new website",https://www.cityoflfp.gov/167/Police-Department,4019301663,401930,1663
-122.303927398147,47.5367988427393,60,650084,764142,65,KC Airport Law Enforcement,KC Airport Law Enforcement,7277 Perimeter Rd S,98108,Seattle,WA,(206) 296-7392,KC,0,Y,added 9/04,https://kingcounty.gov/depts/sheriff/police-partnerships/partners-list/kcia.aspx,2824049007,282404,9007
-122.153550575458,47.4446975027109,61,650008,611396,65,Fairwood Storefront,Fairwood,17620 140th Ave SE,98058,Unincorporated King County,WA,(206) 477-1243,RN,6,X,QC- address from 17240 140th Ave,https://kingcounty.gov/depts/sheriff/police-precincts/precinct3.aspx,7560800010,756080,0010
-122.205360657,47.7615190513655,62,650041,177055,65,Bothell Police Department,Bothell PD,18410 101st Ave NE,98011,Bothell,WA,(425) 486-1254,BO,0,Y,placed manually/QC,http://www.ci.bothell.wa.us/266/Police-Department,0967000310,096700,0310
-122.326563322617,47.3039678814276,63,650047,712916,65,Federal Way Police Department,Federal Way PD,33325 8th Ave S,98003,Federal Way,WA,(253) 835-6700,FW,0,Y,placed manually/QC- moved location across street after calling station,https://www.cityoffederalway.com/police,9265000290,926500,0290
-122.337639935045,47.645691442002,64,650079,746418,65,Seattle Police Harbor Patrol Office,SPD Harbor Patrol,1717 N Northlake Pl,98103,Seattle,WA,(206) 684-4071,SE,0,Y,placed manually/QC,https://www.seattle.gov/police/about-us/about-policing/harbor-patrol,4088801930,408880,1930
